Model,Category,BLEU,ROUGE-L,METEOR,BERT-F1
bakllava_latest,"Art, Photos & Cartoons 
(Drawings & Paintings)",0.006407943561590718,0.13333333333333333,0.18976702871663406,0.8521612286567688
bakllava_latest,"Art, Photos & Cartoons 
(Photographs)",0.0027646646087298252,0.045454545454545456,0.06666666666666667,0.8437219262123108
bakllava_latest,"Art, Photos & Cartoons 
(Cartoons & Comics) ",0.00888597278397434,0.16326530612244897,0.12807881773399016,0.8327500224113464
bakllava_latest,Chemistry,0.006094621805577547,0.13008130081300814,0.20811419984973703,0.8439385294914246
bakllava_latest,Illustrated Diagram (Simple),0.00038784549546863373,0.1590909090909091,0.07172131147540983,0.8235899806022644
bakllava_latest,Illustrated Diagram (Complex),0.00329357012249503,0.045714285714285714,0.03717472118959108,0.7525145411491394
bakllava_latest,Illustrated Diagram (Comparison),0.00012001720607391028,0.08853118712273642,0.036076964190272585,0.7899162173271179
bakllava_latest,Relational Diagram(Venn),0.04891701240484667,0.24427480916030533,0.23332871304164954,0.8701618909835815
bakllava_latest,"Relational Diagram 
(Web)",0.00767191231129824,0.16216216216216217,0.18805309734513276,0.8598875999450684
bakllava_latest,"Relational Diagram 
(Tree)",0.007032572280969008,0.1342281879194631,0.15963759757952625,0.8586099743843079
bakllava_latest,"Relational Diagram
(Flowchart Basic)",0.0035437182967935094,0.12686567164179105,0.07557436517533252,0.7899942398071289
bakllava_latest,"Relational Diagram
(Flowchart Multiple Start Points)",0.0008842698867505395,0.058631921824104226,0.03976143141153081,0.7757977843284607
bakllava_latest,"Relational Diagram
(Flowchart Multiple Paths)",0.004527879541380126,0.19195046439628485,0.1308032744836341,0.8117655515670776
bakllava_latest,Relational Diagram (Cycle),0.03627823346709234,0.1728395061728395,0.2096609000952461,0.8559775352478027
bakllava_latest,Relational Diagram (Cycle),0.0015764669975306504,0.09621993127147767,0.09610052831399643,0.8024962544441223
bakllava_latest,Graph (Vertical Bar Graph),0.009687944745675052,0.14141414141414144,0.1528825431034483,0.7403125166893005
bakllava_latest,Graph (Double),0.008645704980961844,0.136986301369863,0.11103877314814817,0.841964066028595
bakllava_latest,Graph (Horizontal Bar Graph),0.033842138835579544,0.15384615384615385,0.09129967776584319,0.7362047433853149
bakllava_latest,Graph (Line),0.027558243592421455,0.17261904761904762,0.11793611793611793,0.782106876373291
bakllava_latest,Graphs (Pie Chart),0.003974032675176116,0.13333333333333333,0.14084507042253522,0.7632387280464172
bakllava_latest,Graphs (Scatter Plot),2.337003542166852e-05,0.0821917808219178,0.034812880765883375,0.833521842956543
bakllava_latest,Maps (Physical),0.010437673160221879,0.1935483870967742,0.14506555671175858,0.8331934213638306
bakllava_latest,Maps (Political),0.01120964654850108,0.11730205278592376,0.08155867693701858,0.8164764046669006
bakllava_latest,Maths (Graphs),0.018351686674834174,0.1758241758241758,0.15289450465941515,0.8317134976387024
bakllava_latest,Maths (Diagram),0.006989782755735948,0.15966386554621848,0.12184010994950353,0.8210444450378418
bakllava_latest,Maths (Geometry),0.0042827535605363355,0.17194570135746606,0.08819018404907976,0.8163501024246216
bakllava_latest,Table (Simple),0.0066564435920769835,0.16216216216216217,0.16608391608391607,0.8249568343162537
bakllava_latest,Table (Complex),0.0012047847886743157,0.08383233532934131,0.05032230867862224,0.7461936473846436
bakllava_latest,Text Only (Nutrition Label),0.007452869940273089,0.22222222222222224,0.17182130584192443,0.8288041949272156
