Model,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,BERT-Precision,BERT-Recall,BERT-F1
bakllava_latest,0.010553179490482158,0.221906002269983,0.039141457556833535,0.13995918964191834,0.12383691775821418,0.8434469918409984,0.7906667490800222,0.8145114560921987
claude_vision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemini_vision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_latest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt4v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama3.2-vision_latest,0.016532500421668542,0.19800317107145207,0.06262107695175276,0.13642347202971922,0.12991096812915373,0.6588504036267598,0.6800032198429108,0.6683877428372701
llava-llama3_latest,0.012139675131166698,0.24297439462925488,0.05678334990970096,0.15080511339342131,0.1796340586252865,0.8193289180596669,0.8120727459589641,0.8146185914675395
llava-phi3_latest,0.00907152514873539,0.24385228848006332,0.052536767252809424,0.14726978329974622,0.16982529857936793,0.8229433834552765,0.8076755364735921,0.8138410766919454
llava-v1.5,0.012954775154633232,0.2661303338953734,0.06621544999381405,0.1752211648082141,0.1445230692631306,0.8506187538305918,0.7937697410583496,0.8196698307991028
minicpm-v_latest,0.0139686461419515,0.2309372738885832,0.06537295160663942,0.13666073073361043,0.1660490269229369,0.7834924320379894,0.8060775399208069,0.7931444029013316
mistral-small3.2_latest,0.025702930027280215,0.30204831806763355,0.10398109603981182,0.19165345258596067,0.2341054337384727,0.8136932551860809,0.843876713514328,0.8281631867090861
moondream_latest,0.014038726514636208,0.2503625132154139,0.058463767312981925,0.15825757002801472,0.1316857346403423,0.7857653339703877,0.7403914968172709,0.7612852136294047
qwen2.5vl_latest,0.02836308730636564,0.29747544174694523,0.10868129947952593,0.19318651813003093,0.22527165992303827,0.7959705154101054,0.8087162454922994,0.8015984276930491
qwen3,0.034899481668802086,0.33983355066662224,0.12465842310089827,0.2275408580457048,0.2054534081308195,0.8158982535203297,0.7935444553693135,0.8034768203894297
